suburbname,postcode
WYLIES FLAT,2330.0
IRONMUNGY,2630.0
PINE LODGE,2714.0
WATERVIEW,2460.0
MOOKIMA WYBRA,2469.0
OSWALD,2321.0
RIVERSIDE,2444.0
NARRAWA,2583.0
KENNAICLE CREEK,2449.0
MORANS CROSSING,2550.0
HYLAND PARK,2448.0
CHICHESTER,2420.0
SHALLOW BAY,2428.0
THE ANGLE,2620.0
HUNTLEYS COVE,2111.0
WINDERA,2800.0
NEW PARK,2474.0
ROCKY CREEK,2371.0
FOREST LAND,2372.0
HORSFIELD BAY,2256.0
MOONEY MOONEY CREEK,2250.0
DAVIDSON,2085.0
BERALA,2141.0
FORESTVILLE,2087.0
CASTLE COVE,2069.0
NORTH WILLOUGHBY,2068.0
BOTANY,2019.0
PORT BOTANY,2036.0
OATLEY,2223.0
KINGSFORD,2032.0
LONG POINT,2564.0
SOUTH LITTLETON,2790.0
WOMERAH,2756.0
TEN MILE HOLLOW,2250.0
PALMDALE,2258.0
WARDROP VALLEY,2484.0
HORSESHOE CREEK,2474.0
KUNGHUR CREEK,2484.0
DURREN DURREN,2259.0
FERNANCES,2775.0
NARRABEEN,2101.0
CURL CURL,2096.0
KEARSLEY,2325.0
BUNDABAH,2324.0
PHOENIX PARK,2321.0
FORDWICH,2330.0
CORDEAUX,2526.0
MOUNT SAINT THOMAS,2500.0
SPRING HILL,2500.0
GINEROI,2404.0
GHOOLENDAADI,2380.0
BANOON,2347.0
OXLEY,2711.0
GLENROY,2640.0
KHANCOBAN,2642.0
ADAMINABY,2629.0
FRYING PAN,2630.0
THE BROTHERS,2630.0
COURAGAGO,2720.0
TOLWONG,2622.0
QUIERA,2622.0
MONGA,2622.0
MAJORS CREEK,2622.0
TARRAGANDA,2550.0
DIGNAMS CREEK,2546.0
KYBEYAN,2631.0
MYALLA,2630.0
MIDDLE FLAT,2630.0
BOLARO,2629.0
COLINTON,2626.0
ROSE VALLEY,2630.0
CAPTAINS FLAT,2623.0
GREENLEIGH,2620.0
FREEMANS,2259.0
MANNERING PARK,2259.0
WEETHALLE,2669.0
NORTH YALGOGRIN,2671.0
NYRANG CREEK,2804.0
LIMERICK,2583.0
FITZGERALDS MOUNT,2799.0
FOSTERS VALLEY,2795.0
CULLENBONE,2850.0
CARCALGONG,2850.0
WIAGDON,2795.0
MITCHELL,2795.0
ROBIN HILL,2795.0
GILMANDYKE,2795.0
GOLSPIE,2580.0
ROSLYN,2580.0
SHOOTERS HILL,2787.0
BROGANS CREEK,2848.0
MOUNT MARSDEN,2849.0
BOGEE,2849.0
COXS CREEK,2849.0
BREAKFAST CREEK,2849.0
LITTLE PELICAN,2281.0
PELICAN,2281.0
SWANSEA HEADS,2281.0
YANNERGEE,2343.0
BIRRIWA,2844.0
BARNEYS REEF,2852.0
UARBRY,2329.0
CUMBANDRY,2852.0
BYLONG,2849.0
BUDDEN,2849.0
ATTUNGA,2345.0
ROSSGOLE,2336.0
GREEN CREEK,2338.0
DEWITT,2422.0
CRAVEN PLATEAU,2422.0
CAFFREYS FLAT,2424.0
WHERROL FLAT,2429.0
DOYLES RIVER,2446.0
MARLEE,2429.0
UPPER LANSDOWNE,2430.0
UPPER PAPPINBARRA,2446.0
WITTITRIN,2440.0
CAMDEN HEAD,2443.0
NORTH HAVEN,2443.0
NORTH SHORE,2444.0
SEVEN OAKS,2440.0
TOOROOKA,2440.0
WILLAWARRIN,2440.0
LOWER CREEK,2440.0
MODANVILLE,2480.0
LISMORE,2480.0
GHINNI GHI,2474.0
PEACOCK CREEK,2469.0
ROSEBERRY,2474.0
GREVILLIA,2474.0
TERRACE CREEK,2474.0
THE GLEN,2476.0
BACK CREEK,2372.0
YURAYGIR,2464.0
BANYABBA,2460.0
BOOKRAM,2460.0
MINNIE WATER,2462.0
WOOLI,2462.0
RED ROCK,2456.0
CHAMBIGNE,2460.0
MOONPAR,2453.0
BERRICO,2422.0
UPPER KARUAH RIVER,2415.0
MUNGO BRUSH,2423.0
YAGON,2423.0
GREEN POINT,2428.0
CORNEY TOWN,2790.0
MCKELLARS PARK,2790.0
WIDDEN,2328.0
KOOBA,2680.0
COWABBIE,2652.0
RINGWOOD,2646.0
URANGELINE,2656.0
KYEAMBA,2650.0
GELSTON PARK,2650.0
METHUL,2701.0
MIMOSA,2666.0
STONY CREEK,2550.0
CENTRAL TILBA,2546.0
COILA,2537.0
TURLINJAH,2537.0
KIORA,2537.0
TINPOT,2546.0
WYANBENE,2622.0
NARRANGULLEN,2582.0
